time,1472886887.372
A,232.79058859205711
x0,597.95746027492817
sigmax,35.473861268193097
y0,427.3794830633787
sigmay,28.536087280071495
B,1.0242659746782405
N,11153520498.07963
stdev X (um),1253.4097648094892
stdev Y (um),1008.2750838958593
Tx (uK),6.9503485227781727
Ty (uK),4.4975759453665951
T (uK),5.7239622340723839
Tx harmonic (uK),6.9222935238439511
Ty harmonic (uK),4.4794215336935226
T harmonic (uK),5.7008575287687364
Aspect Ratio,1.2431228191878525
Aspect Ratio Inverse,0.80442574503886299
Summed OD,1550211.0
Summed OD Atom Number,11677627273.976698
Critical Temperature (nK),9601.73768408654
Thermal Cloud Density Linear Trap (cm^-3),1.7929773982626816e+17
Peak Thermal Density Harmonic Trap (cm^-3),1634263832574807.0
Phase Space Density (thermal),632.015180855116
Phase Space Density Harmonic (thermal),5.7606947678791585
average thermal velocity Linear Trap (m/s),0.072605281030277802
Collision Time Linear Trap (ms),0.00020077816086383653
